city,time,temperature,latitude,longitude,timezone
"Tallahassee, FL",2026-04-08T00:00,67.6,30.474516,-84.28909,GMT
"Tallahassee, FL",2026-04-08T01:00,63.1,30.474516,-84.28909,GMT
"Tallahassee, FL",2026-04-08T02:00,61.0,30.474516,-84.28909,GMT
"Tallahassee, FL",2026-04-08T03:00,59.8,30.474516,-84.28909,GMT
"Tallahassee, FL",2026-04-08T04:00,59.0,30.474516,-84.28909,GMT
"Tallahassee, FL",2026-04-08T05:00,58.4,30.474516,-84.28909,GMT
"Tallahassee, FL",2026-04-08T06:00,56.9,30.474516,-84.28909,GMT
"Tallahassee, FL",2026-04-08T07:00,56.5,30.474516,-84.28909,GMT
"Tallahassee, FL",2026-04-08T08:00,55.9,30.474516,-84.28909,GMT
"Tallahassee, FL",2026-04-08T09:00,55.5,30.474516,-84.28909,GMT
"Tallahassee, FL",2026-04-08T10:00,55.2,30.474516,-84.28909,GMT
"Tallahassee, FL",2026-04-08T11:00,54.9,30.474516,-84.28909,GMT
"Tallahassee, FL",2026-04-08T12:00,56.8,30.474516,-84.28909,GMT
"Tallahassee, FL",2026-04-08T13:00,59.7,30.474516,-84.28909,GMT
"Tallahassee, FL",2026-04-08T14:00,63.2,30.474516,-84.28909,GMT
"Tallahassee, FL",2026-04-08T15:00,67.0,30.474516,-84.28909,GMT
"Tallahassee, FL",2026-04-08T16:00,70.7,30.474516,-84.28909,GMT
"Tallahassee, FL",2026-04-08T17:00,73.3,30.474516,-84.28909,GMT
"Tallahassee, FL",2026-04-08T18:00,69.0,30.474516,-84.28909,GMT
"Tallahassee, FL",2026-04-08T19:00,69.7,30.474516,-84.28909,GMT
"Tallahassee, FL",2026-04-08T20:00,71.3,30.474516,-84.28909,GMT
"Tallahassee, FL",2026-04-08T21:00,69.7,30.474516,-84.28909,GMT
"Tallahassee, FL",2026-04-08T22:00,67.9,30.474516,-84.28909,GMT
"Tallahassee, FL",2026-04-08T23:00,67.8,30.474516,-84.28909,GMT
"Miami, FL",2026-04-08T00:00,72.0,25.764498,-80.196075,GMT
"Miami, FL",2026-04-08T01:00,71.0,25.764498,-80.196075,GMT
"Miami, FL",2026-04-08T02:00,70.6,25.764498,-80.196075,GMT
"Miami, FL",2026-04-08T03:00,69.9,25.764498,-80.196075,GMT
"Miami, FL",2026-04-08T04:00,69.0,25.764498,-80.196075,GMT
"Miami, FL",2026-04-08T05:00,68.7,25.764498,-80.196075,GMT
"Miami, FL",2026-04-08T06:00,70.1,25.764498,-80.196075,GMT
"Miami, FL",2026-04-08T07:00,69.8,25.764498,-80.196075,GMT
"Miami, FL",2026-04-08T08:00,70.0,25.764498,-80.196075,GMT
"Miami, FL",2026-04-08T09:00,70.2,25.764498,-80.196075,GMT
"Miami, FL",2026-04-08T10:00,69.3,25.764498,-80.196075,GMT
"Miami, FL",2026-04-08T11:00,68.5,25.764498,-80.196075,GMT
"Miami, FL",2026-04-08T12:00,70.9,25.764498,-80.196075,GMT
"Miami, FL",2026-04-08T13:00,72.6,25.764498,-80.196075,GMT
"Miami, FL",2026-04-08T14:00,74.1,25.764498,-80.196075,GMT
"Miami, FL",2026-04-08T15:00,75.9,25.764498,-80.196075,GMT
"Miami, FL",2026-04-08T16:00,76.7,25.764498,-80.196075,GMT
"Miami, FL",2026-04-08T17:00,76.3,25.764498,-80.196075,GMT
"Miami, FL",2026-04-08T18:00,77.4,25.764498,-80.196075,GMT
"Miami, FL",2026-04-08T19:00,77.4,25.764498,-80.196075,GMT
"Miami, FL",2026-04-08T20:00,76.7,25.764498,-80.196075,GMT
"Miami, FL",2026-04-08T21:00,71.2,25.764498,-80.196075,GMT
"Miami, FL",2026-04-08T22:00,73.2,25.764498,-80.196075,GMT
"Miami, FL",2026-04-08T23:00,72.9,25.764498,-80.196075,GMT
"Orlando, FL",2026-04-08T00:00,65.7,28.576448,-81.38953,GMT
"Orlando, FL",2026-04-08T01:00,65.6,28.576448,-81.38953,GMT
"Orlando, FL",2026-04-08T02:00,65.8,28.576448,-81.38953,GMT
"Orlando, FL",2026-04-08T03:00,65.8,28.576448,-81.38953,GMT
"Orlando, FL",2026-04-08T04:00,65.7,28.576448,-81.38953,GMT
"Orlando, FL",2026-04-08T05:00,65.6,28.576448,-81.38953,GMT
"Orlando, FL",2026-04-08T06:00,64.9,28.576448,-81.38953,GMT
"Orlando, FL",2026-04-08T07:00,64.8,28.576448,-81.38953,GMT
"Orlando, FL",2026-04-08T08:00,65.2,28.576448,-81.38953,GMT
"Orlando, FL",2026-04-08T09:00,65.3,28.576448,-81.38953,GMT
"Orlando, FL",2026-04-08T10:00,65.1,28.576448,-81.38953,GMT
"Orlando, FL",2026-04-08T11:00,64.8,28.576448,-81.38953,GMT
"Orlando, FL",2026-04-08T12:00,65.4,28.576448,-81.38953,GMT
"Orlando, FL",2026-04-08T13:00,67.3,28.576448,-81.38953,GMT
"Orlando, FL",2026-04-08T14:00,69.3,28.576448,-81.38953,GMT
"Orlando, FL",2026-04-08T15:00,71.2,28.576448,-81.38953,GMT
"Orlando, FL",2026-04-08T16:00,70.2,28.576448,-81.38953,GMT
"Orlando, FL",2026-04-08T17:00,70.0,28.576448,-81.38953,GMT
"Orlando, FL",2026-04-08T18:00,73.7,28.576448,-81.38953,GMT
"Orlando, FL",2026-04-08T19:00,69.3,28.576448,-81.38953,GMT
"Orlando, FL",2026-04-08T20:00,68.4,28.576448,-81.38953,GMT
"Orlando, FL",2026-04-08T21:00,68.9,28.576448,-81.38953,GMT
"Orlando, FL",2026-04-08T22:00,66.3,28.576448,-81.38953,GMT
"Orlando, FL",2026-04-08T23:00,65.7,28.576448,-81.38953,GMT
